NotificationId,SendDate,Content,Description,RecipientId,DeliveredDate,ReadDate
6327855edda502249b003800,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1000,2022-09-18 23:53:52,2022-09-18 23:54:53
6327855edda502249b003800,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1001,0,0
6327855edda502249b003800,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1002,0,0
6327855edda502249b003800,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1003,0,0
6327855edda502249b003800,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1004,0,0
6327855edda502249b003800,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1005,0,0
6327855edda502249b003800,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1006,0,0
6327855edda502249b003800,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1007,0,0
6327855edda502249b003800,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1008,0,0
6327855edda502249b003800,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1009,0,0
6327855edda502249b003801,2022-08-01 11:40:00,"Linux is one of the most prominent examples of free and open-source software collaboration. The source code may be used, modified and distributed commercially or non-commercially by anyone under the terms of its respective licenses, such as the GNU General Public License (GPL).","Linux is cool",1000,2022-09-18 23:53:52,2022-09-18 23:54:06
6327855edda502249b003801,2022-08-01 11:40:00,"Linux is one of the most prominent examples of free and open-source software collaboration. The source code may be used, modified and distributed commercially or non-commercially by anyone under the terms of its respective licenses, such as the GNU General Public License (GPL).","Linux is cool",1001,0,0
6327855edda502249b003801,2022-08-01 11:40:00,"Linux is one of the most prominent examples of free and open-source software collaboration. The source code may be used, modified and distributed commercially or non-commercially by anyone under the terms of its respective licenses, such as the GNU General Public License (GPL).","Linux is cool",1002,0,0
6327855edda502249b003801,2022-08-01 11:40:00,"Linux is one of the most prominent examples of free and open-source software collaboration. The source code may be used, modified and distributed commercially or non-commercially by anyone under the terms of its respective licenses, such as the GNU General Public License (GPL).","Linux is cool",1003,0,0
6327855edda502249b003801,2022-08-01 11:40:00,"Linux is one of the most prominent examples of free and open-source software collaboration. The source code may be used, modified and distributed commercially or non-commercially by anyone under the terms of its respective licenses, such as the GNU General Public License (GPL).","Linux is cool",1004,0,0
6327855edda502249b003801,2022-08-01 11:40:00,"Linux is one of the most prominent examples of free and open-source software collaboration. The source code may be used, modified and distributed commercially or non-commercially by anyone under the terms of its respective licenses, such as the GNU General Public License (GPL).","Linux is cool",1005,0,0
6327855edda502249b003801,2022-08-01 11:40:00,"Linux is one of the most prominent examples of free and open-source software collaboration. The source code may be used, modified and distributed commercially or non-commercially by anyone under the terms of its respective licenses, such as the GNU General Public License (GPL).","Linux is cool",1006,0,0
6327855edda502249b003801,2022-08-01 11:40:00,"Linux is one of the most prominent examples of free and open-source software collaboration. The source code may be used, modified and distributed commercially or non-commercially by anyone under the terms of its respective licenses, such as the GNU General Public License (GPL).","Linux is cool",1007,0,0
6327855edda502249b003801,2022-08-01 11:40:00,"Linux is one of the most prominent examples of free and open-source software collaboration. The source code may be used, modified and distributed commercially or non-commercially by anyone under the terms of its respective licenses, such as the GNU General Public License (GPL).","Linux is cool",1008,0,0
6327855edda502249b003801,2022-08-01 11:40:00,"Linux is one of the most prominent examples of free and open-source software collaboration. The source code may be used, modified and distributed commercially or non-commercially by anyone under the terms of its respective licenses, such as the GNU General Public License (GPL).","Linux is cool",1009,0,0
632785a5dda502249b0038a0,2022-09-18 23:55:01,"Chickenn in mwisho","Gregory",1000,2022-09-18 23:55:01,2022-09-18 23:55:09
63278b97dda502249b0038a2,2022-09-19 00:20:23,"Macharia","Derick",1000,2022-09-19 00:20:23,2022-09-19 00:20:57
6328361506dd69378b07f402,2022-09-19 12:27:49,"new sms","werth",1000,2022-09-19 12:28:12,2022-09-19 12:29:15
6328361506dd69378b07f402,2022-09-19 12:27:49,"new sms","werth",1010,0,0
6328365006dd69378b07f405,2022-09-19 12:28:48,"bjkkkkkkkk","gjgjkk",1000,2022-09-19 12:28:49,2022-09-19 12:29:06
6328365006dd69378b07f405,2022-09-19 12:28:48,"bjkkkkkkkk","gjgjkk",1010,0,0
6328374106dd69378b07f408,2022-09-19 12:32:49,"fhjlouii","Denno",1000,2022-09-19 12:32:49,2022-09-19 12:33:01
632837ac06dd69378b07f40a,2022-09-19 12:34:36,"thjjjkjj","fjhhjjk",1010,0,0
632837cd06dd69378b07f40c,2022-09-19 12:35:09,"dhgjkgkhgjgkjf","fnfgjkggjgjgkg",1000,2022-09-19 12:35:10,2022-09-19 12:35:23
