NotificationId,SendDate,Content,Description,RecipientId,DeliveredDate,ReadDate
632cd560436bc6911807d55f,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1000,2022-09-23 00:49:18,0
632cd560436bc6911807d55f,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1001,0,0
632cd560436bc6911807d55f,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1002,0,0
632cd560436bc6911807d55f,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1003,0,0
632cd560436bc6911807d55f,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1004,0,0
632cd560436bc6911807d55f,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1005,0,0
632cd560436bc6911807d55f,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1006,0,0
632cd560436bc6911807d55f,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1007,0,0
632cd560436bc6911807d55f,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1008,0,0
632cd560436bc6911807d55f,2022-08-01 00:00:00,"An API is a set of definitions and protocols for building and integrating application software. It’s sometimes referred to as a contract between an information provider and an information user—establishing the content required from the consumer (the call) and the content required by the producer (the response).","Definition of Api",1009,0,0
